Antennae,Arms,Eyes,Legs,Mouth,Pattern,Correct,Response,rt,rules_set,item_name,id,condition,planet_permutation,planet_reverse_permutation,age,gender,education,in_training,training_program,backstory_readtime,rules_readtime,pre_example_readtime,rules_repetition,intermediate_readtime,second_rules_readtime,presurvey_readtime,difficulty,demand,attentive,undisturbed,particularities,presumptions,planet1rules,planet2rules,planet3rules,planet4rules,correctness
1,0,3,0,No teeth,Stripes,3,1,2258,ruleset1,training_3,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
0,4,2,6,None,Stripes,4,2,880,ruleset1,training_4,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
1,0,3,0,No teeth,Stripes,3,1,4283,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,4,1,0,No teeth,None,2,2,2425,ruleset2a,upper_bound_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,True
2,4,3,0,No teeth,None,2,2,1027,ruleset2a,upper_bound_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,True
2,2,2,0,Teeth,None,1,1,2077,ruleset2a,upper_bound_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,True
2,0,1,0,No teeth,None,2,2,1165,ruleset2a,test_learning_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,True
0,4,2,0,Teeth,Stripes,4,2,856,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,4,1,6,Teeth,None,1,2,1358,ruleset2a,interference_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
1,2,3,0,Teeth,Stripes,3,1,1843,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,0,3,4,No teeth,None,2,3,866,ruleset2a,test_learning_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
0,0,2,6,None,Stripes,4,4,1670,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,True
2,2,3,2,No teeth,None,2,1,2050,ruleset2a,interference_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,4,2,4,No teeth,None,2,2,868,ruleset2a,upper_bound_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,True
2,2,3,4,Teeth,None,1,2,1513,ruleset2a,upper_bound_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,2,2,0,No teeth,None,2,1,2105,ruleset2a,interference_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
1,2,2,2,No teeth,Stripes,4,4,2625,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,True
2,0,1,4,Teeth,None,1,2,1327,ruleset2a,test_learning_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,4,3,4,Teeth,None,1,2,839,ruleset2a,interference_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
1,2,2,4,No teeth,Stripes,4,3,1859,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,2,3,4,Teeth,None,1,4,1066,ruleset2a,upper_bound_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,0,3,6,Teeth,None,1,2,1225,ruleset2a,test_learning_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
1,0,3,6,Teeth,Stripes,3,1,2442,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,2,2,6,No teeth,None,2,4,1392,ruleset2a,interference_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
0,4,3,0,Teeth,Stripes,3,2,967,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
0,4,3,2,None,Stripes,3,2,802,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,0,3,2,Teeth,None,1,2,1171,ruleset2a,test_learning_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,0,2,6,No teeth,None,2,1,534,ruleset2a,test_learning_p2,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
0,2,2,4,Teeth,Stripes,4,3,2000,ruleset2a,decoy,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,4,2,0,Teeth,None,1,2,1529,ruleset2a,interference_p1,IASSAZJNOM,0,"{""1"":3,""2"":1,""3"":4,""4"":2}","{""1"":2,""2"":4,""3"":1,""4"":3}",28,female,high,False,,27386,33132,15939,27265,3279,11056,1813,5,4,4,True,,,,,,,False
2,2,3,4,None,None,1,3,4548,example_1,example_1,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
2,4,2,2,No teeth,None,2,2,3921,example_2,example_2,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,2,3,6,Teeth,Stripes,3,4,8030,example_3,example_3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
0,0,2,0,Teeth,Stripes,4,3,10997,example_4,example_4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
1,0,3,0,Teeth,Stripes,3,3,10923,ruleset1,training_3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,4,3,6,Teeth,None,2,2,8355,ruleset1,training_2,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,4,1,0,None,None,2,2,2583,ruleset1,training_2,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,4,2,2,No teeth,Stripes,4,4,5376,ruleset1,training_4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,2,3,0,Teeth,Stripes,3,3,7245,ruleset1,training_3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,1,0,Teeth,None,1,1,4959,ruleset1,training_1,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,2,2,2,Teeth,Stripes,4,4,10358,ruleset1,training_4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,2,3,6,Teeth,Stripes,3,3,4001,ruleset1,training_3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,2,2,6,Teeth,Stripes,4,4,3793,ruleset1,training_4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,4,2,0,No teeth,None,2,2,4193,ruleset1,training_2,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,4,2,0,None,Stripes,4,3,5552,ruleset1,training_4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
0,0,2,0,No teeth,Stripes,4,4,1962,ruleset1,training_4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,2,3,6,None,Stripes,3,3,1660,ruleset1,training_3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,4,3,6,Teeth,None,2,2,3765,ruleset1,training_2,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,1,2,None,None,1,1,3878,ruleset1,training_1,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,1,2,No teeth,None,1,1,3840,ruleset1,training_1,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,1,0,No teeth,None,1,1,2386,ruleset1,training_1,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,4,2,4,Teeth,None,2,2,2113,ruleset1,training_2,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,2,0,Teeth,None,1,1,1301,ruleset1,training_1,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,4,3,0,Teeth,Stripes,3,4,4347,ruleset1,training_3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
1,4,3,6,No teeth,Points,3,3,7073,ruleset2b,upper_bound_new_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,2,2,Teeth,None,1,1,2110,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,3,6,No teeth,None,1,1,2003,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,2,2,6,Teeth,Points,3,4,1772,ruleset2b,interference_new_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
0,0,1,6,Teeth,Points,3,3,7250,ruleset2b,test_learning_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,2,3,0,Teeth,Stripes,3,3,6879,ruleset2b,interference_old_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,3,0,None,None,1,1,4633,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,4,2,6,Teeth,Points,3,4,6544,ruleset2b,interference_new_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
0,0,2,6,No teeth,Stripes,4,3,2492,ruleset2b,interference_old_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
1,2,1,0,No teeth,Points,4,4,4014,ruleset2b,test_learning_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,3,0,Teeth,None,1,1,4780,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,4,1,0,No teeth,None,2,2,1624,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,4,2,6,No teeth,Stripes,4,4,7127,ruleset2b,interference_old_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,2,3,6,No teeth,Stripes,3,4,3426,ruleset2b,upper_bound_old_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
0,4,2,4,No teeth,Stripes,4,3,4452,ruleset2b,test_memory_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
0,0,2,0,Teeth,Points,4,3,2583,ruleset2b,upper_bound_new_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
1,2,2,4,No teeth,Stripes,4,4,4268,ruleset2b,test_memory_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
1,0,1,6,Teeth,Points,3,4,2497,ruleset2b,test_learning_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
0,2,3,0,No teeth,Stripes,3,3,4267,ruleset2b,interference_old_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,0,3,0,No teeth,Points,4,3,1949,ruleset2b,interference_new_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
2,4,3,0,Teeth,None,2,4,5414,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
1,2,3,4,Teeth,Stripes,3,4,8434,ruleset2b,test_memory_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
2,4,3,4,None,None,2,2,2636,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,4,1,0,No teeth,Points,4,3,5243,ruleset2b,test_learning_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
1,0,2,0,Teeth,Stripes,4,3,5110,ruleset2b,upper_bound_old_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,False
1,4,3,0,Teeth,Points,4,4,6403,ruleset2b,interference_new_p4,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
0,4,3,2,Teeth,Stripes,3,3,6446,ruleset2b,test_memory_p3,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,4,2,0,Teeth,None,2,2,1877,ruleset2b,decoy,IAXXIRONTU,1,"{""1"":1,""2"":2,""3"":4,""4"":3}","{""1"":1,""2"":2,""3"":4,""4"":3}",33,female,high,False,,43779,71153,17293,40566,2587,32361,6133,4,3,5,True,No,No,,,,,True
2,2,3,4,None,None,1,1,36151,example_1,example_1,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
2,4,2,2,No teeth,None,2,2,11154,example_2,example_2,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
1,2,3,6,Teeth,Stripes,3,3,13684,example_3,example_3,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
0,0,2,0,Teeth,Stripes,4,3,8908,example_4,example_4,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,False
2,4,2,4,None,None,2,4,3442,ruleset1,training_2,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,False
0,4,3,2,No teeth,Stripes,3,3,5887,ruleset1,training_3,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
2,2,1,6,Teeth,None,1,1,11138,ruleset1,training_1,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
0,4,2,0,Teeth,Stripes,4,4,5945,ruleset1,training_4,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
0,4,2,4,None,Stripes,4,4,11254,ruleset1,training_4,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
1,4,3,6,Teeth,Stripes,3,3,2869,ruleset1,training_3,JAPGACHVNT,0,"{""1"":1,""2"":4,""3"":3,""4"":2}","{""1"":1,""2"":4,""3"":3,""4"":2}",27,female,university,True,MSc in Digital Marketing,59620,84069,31764,38787,3417,27032,4969,4,4,5,True,,,,,,,True
